seq,phase,data_mode,function,runtime,variant,memory_mb,role,pattern,warming,intended_cold,force_cold,rep,block,burst_id,idle_gap_min,t_start,t_start_utc,request_id,status,function_error,error,rtt_ms,duration_ms,billed_ms,init_ms,cold,max_memory_used_mb,report_source
22.0,live_python_init,live,python-bytecode,python,bytecode,1024,measure,idle,off,True,update_env,3.0,,,,1789900040.503,2026-09-20T10:27:20.503+00:00,a9389742-59ac-47ef-909e-fde4e28b8e3d,200,Unhandled,True,584.45,89.49,90,,False,47,logs
23.0,live_python_init,live,python-bytecode,python,bytecode,1024,follow_up,idle,off,False,update_env,3.0,,,,1789900041.089,2026-09-20T10:27:21.088+00:00,f4058d61-b49f-4b5e-a7bf-9fdce04f4090,200,Unhandled,True,297.782,115.7,116,,False,47,logs
24.0,live_python_init,live,python-bytecode,python,bytecode,1024,measure,idle,off,True,update_env,4.0,,,,1789900043.51,2026-09-20T10:27:23.509+00:00,5cd1bd6b-f2a5-4dd4-a05d-dfbd5e92bd5a,200,Unhandled,True,618.493,113.03,114,,False,47,logs
25.0,live_python_init,live,python-bytecode,python,bytecode,1024,follow_up,idle,off,False,update_env,4.0,,,,1789900044.129,2026-09-20T10:27:24.129+00:00,02c75585-61ca-4e70-a10d-01de1c1d974e,200,Unhandled,True,359.657,168.39,169,,False,47,logs
26.0,live_python_init,live,python-default,python,default,1024,measure,idle,off,True,update_env,4.0,,,,1789900046.791,2026-09-20T10:27:26.790+00:00,c0952e89-b19b-4235-a666-ec3f167e3f4b,200,,False,3844.63,31.99,3388,3355.91,True,134,logs
27.0,live_python_init,live,python-default,python,default,1024,follow_up,idle,off,False,update_env,4.0,,,,1789900050.636,2026-09-20T10:27:30.636+00:00,301a7b38-c1b4-4142-84e3-d7e06ac4f331,200,,False,200.124,17.8,18,,False,134,logs
28.0,live_python_init,live,python-optimised,python,optimised,1024,measure,idle,off,True,update_env,4.0,,,,1789900052.936,2026-09-20T10:27:32.936+00:00,5d9fecac-b044-47d8-8244-ff90cef9770c,200,,False,441.439,16.84,101,83.87,True,41,logs
29.0,live_python_init,live,python-optimised,python,optimised,1024,follow_up,idle,off,False,update_env,4.0,,,,1789900053.379,2026-09-20T10:27:33.379+00:00,3ca6f532-9eae-48c5-a9a0-d5b46dbeffb0,200,,False,199.788,15.98,16,,False,41,logs
,background,live,python-default,python,default,1024,unmatched,,,,,,,,,1789900053.395,,9ff03ba1-2a89-4202-97a4-b20e6b491839,200,,False,,2.58,2740,2737.17,True,132,logs
30.0,live_python_init,live,python-default,python,default,1024,measure,idle,off,True,update_env,5.0,,,,1789900055.853,2026-09-20T10:27:35.853+00:00,55715bb9-a33a-4be3-a210-84c7deb5407f,200,,False,4029.7,27.77,3588,3559.36,True,132,logs
