t_sent,kind,status,latency_ms,trace_id,error
1789910845.383,create,201,933.89,Root=1-6aafdf3d-43a5deab56336565211a162c;Parent=54b0bb5bd990c1d9;Sampled=0;Lineage=1:3cc2d273:0,
1789910846.383,create,201,993.29,Root=1-6aafdf3e-374009cc248360da685d504f;Parent=4c8981d7f86cfe41;Sampled=0;Lineage=1:3cc2d273:0,
1789910847.383,create,201,988.69,Root=1-6aafdf3f-1f9418245db625aa509221ae;Parent=185cd3d16d1d2057;Sampled=0;Lineage=1:3cc2d273:0,
1789910848.383,create,201,893.25,Root=1-6aafdf40-2adaf050651a4a9464e4876d;Parent=602de9fb3f5e8938;Sampled=0;Lineage=1:3cc2d273:0,
1789910849.383,get,200,500.91,Root=1-6aafdf41-6739c44f71d0c1813d4d3931;Parent=541049eeb29692ee;Sampled=0;Lineage=1:3cc2d273:0,
1789910850.383,create,201,892.15,Root=1-6aafdf42-1e9fdc6871f64e8a595f3bbe;Parent=05301574920f52a5;Sampled=0;Lineage=1:3cc2d273:0,
1789910851.383,create,201,918.39,Root=1-6aafdf43-1adbc53918614a2b29adc339;Parent=4e7a1d226d4db9b5;Sampled=0;Lineage=1:3cc2d273:0,
1789910852.383,get,200,217.29,Root=1-6aafdf44-150465d94ca123527487d5dd;Parent=7d2bd0be504678b4;Sampled=0;Lineage=1:3cc2d273:0,
1789910853.383,create,201,1010.52,Root=1-6aafdf45-3669b4e23c96a9b379c5ff4d;Parent=7f420e3edf6adce4;Sampled=0;Lineage=1:3cc2d273:0,
1789910854.383,get,200,517.61,Root=1-6aafdf46-61a6c31354cca79e0981e48b;Parent=13d628200d85cbeb;Sampled=0;Lineage=1:3cc2d273:0,
1789910855.383,create,201,897.16,Root=1-6aafdf47-6371e8d62d6781020373ca30;Parent=05134b0351bf2e4c;Sampled=0;Lineage=1:3cc2d273:0,
1789910856.383,get,200,550.86,Root=1-6aafdf48-7926ccfd252accb03a2fb53e;Parent=17e70f7e6b3e8335;Sampled=0;Lineage=1:3cc2d273:0,
