time_s,cpu_cores_sum,mem_sum,n_machines,sample_note
34500,29.92911133333333,76.54727513333334,7.433333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
34800,34.68898146666667,80.6782011,7.033333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
35100,38.11684876666666,80.22216726666667,7.066666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
35400,34.21994706666667,81.3400397,6.5,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
35700,33.32969456666667,80.28004083333333,6.3,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
36000,39.32003006666666,83.22413060000001,7.233333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
36300,35.222203066666665,80.28074926666666,6.933333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
36600,35.5969312,80.34941793333334,5.566666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
36900,34.467637133333334,79.30734486666667,6.666666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
37200,31.96133596666667,81.99236776666666,6.1,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
37500,30.650330666666665,78.84449733333334,5.566666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
37800,28.314285700000003,77.7425265,6.0,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
38100,26.4356349,76.11392856666666,6.066666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
38400,29.6018386,76.8398809,5.8,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
38700,27.4571428,73.34920633333333,6.066666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
39000,28.7679497,76.73982796666665,6.533333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
39300,23.7163517,77.43378956666668,7.466666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
39600,27.696415333333334,79.1433466,6.133333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
39900,30.8027044,77.30564453333334,6.8,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
40200,34.7340212,78.06920636666668,6.733333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
40500,32.19615003333333,78.55531643333333,6.833333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
40800,33.96852453333334,76.21332486666667,6.766666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
41100,35.462008233333336,81.45973666666667,7.5,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
41400,35.14720543333333,80.42099929999999,6.633333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
41700,28.37320103333333,80.64215606666667,5.466666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
42000,27.070462966666664,82.83665346666666,6.2,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
42300,28.909537066666665,82.58517789999999,5.666666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
42600,32.789021166666664,77.95876986666667,6.4,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
42900,31.670790033333333,80.06127466666666,6.2,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
43200,35.9880738,83.60002543333333,6.5,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
43500,31.157394166666666,83.4699379,6.8,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
43800,34.98745673333334,84.63354980000001,6.266666666666667,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
44100,28.652896833333333,78.7034391,5.133333333333334,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
44400,27.474426466666667,78.00022723333333,5.733333333333333,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
44700,26.297447066666667,77.415172,6.1,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
45000,22.9680922,75.58058303333334,6.3,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
45300,24.163765033333334,77.8746164,6.3,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
45600,34.12377346666667,78.29165583333334,5.866666666666666,RANGE_64MiB_partial_tar_gz;resampled_300s_mean
