runtime,variant,process_wall_ms,ok,init_proxy_ms,handler_ms,digest,items_total,rep,warmup,seq
nodejs,optimised,85.081,True,37.99,40.361,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,17,False,107.0
nodejs,optimised,74.515,True,30.436,37.252,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,18,False,108.0
nodejs,default,385.549,True,320.867,48.262,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,18,False,109.0
java,default,354.399,True,240.271,76.571,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,18,False,110.0
java,optimised,155.886,True,37.369,83.841,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,18,False,111.0
python,optimised,32.455,True,20.812,8.406,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,18,False,112.0
python,default,2501.794,True,2413.819,8.393,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,18,False,113.0
java,default,330.597,True,221.577,71.59,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,19,False,114.0
nodejs,optimised,74.853,True,29.829,38.197,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,19,False,115.0
java,optimised,149.892,True,36.011,79.375,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,19,False,116.0
python,optimised,32.301,True,20.665,8.348,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,19,False,117.0
python,default,2456.786,True,2377.3,8.274,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,19,False,118.0
nodejs,default,384.881,True,320.829,50.328,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,19,False,119.0
python,default,2473.316,True,2392.538,8.588,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,20,False,120.0
java,optimised,160.705,True,36.028,86.647,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,20,False,121.0
nodejs,default,399.669,True,334.013,49.844,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,20,False,122.0
java,default,360.016,True,248.047,74.821,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,20,False,123.0
nodejs,optimised,73.64,True,29.394,37.218,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,20,False,124.0
python,optimised,32.446,True,20.756,8.391,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,20,False,125.0
java,default,324.955,True,217.555,64.787,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,21,False,126.0
nodejs,optimised,74.531,True,29.512,38.231,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,21,False,127.0
python,default,2460.256,True,2381.319,8.498,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,21,False,128.0
java,optimised,156.034,True,37.012,83.448,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,21,False,129.0
nodejs,default,387.309,True,321.708,49.028,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,21,False,130.0
python,optimised,40.18,True,25.051,10.879,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,21,False,131.0
python,default,2445.389,True,2366.918,8.306,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,22,False,132.0
python,optimised,32.51,True,20.847,8.31,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,22,False,133.0
nodejs,default,384.714,True,318.516,49.076,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,22,False,134.0
nodejs,optimised,81.123,True,33.907,40.445,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,22,False,135.0
java,default,320.832,True,220.661,70.791,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,22,False,136.0
java,optimised,151.484,True,36.304,79.979,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,22,False,137.0
python,default,2460.313,True,2378.899,8.514,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,23,False,138.0
nodejs,optimised,76.516,True,32.849,36.994,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,23,False,139.0
java,optimised,158.558,True,35.644,88.366,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,23,False,140.0
java,default,324.938,True,223.205,65.536,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,23,False,141.0
python,optimised,32.662,True,20.795,8.466,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,23,False,142.0
nodejs,default,396.387,True,328.393,52.265,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,23,False,143.0
python,optimised,39.206,True,25.565,9.484,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,24,False,144.0
nodejs,default,378.525,True,313.522,51.236,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,24,False,145.0
nodejs,optimised,83.584,True,36.51,40.255,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,24,False,146.0
java,default,329.637,True,223.833,64.457,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,24,False,147.0
java,optimised,146.818,True,35.169,76.098,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,24,False,148.0
python,default,2456.402,True,2376.114,8.894,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,24,False,149.0
java,default,327.127,True,218.147,66.238,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,25,False,150.0
nodejs,default,388.948,True,324.581,48.727,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,25,False,151.0
python,optimised,40.451,True,25.144,11.076,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,25,False,152.0
python,default,2467.365,True,2388.919,8.453,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,25,False,153.0
nodejs,optimised,74.7,True,30.422,37.524,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,25,False,154.0
java,optimised,158.723,True,39.105,84.18,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,25,False,155.0
python,optimised,32.972,True,21.07,8.596,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,26,False,156.0
python,default,2483.453,True,2400.796,8.194,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,26,False,157.0
java,optimised,160.933,True,38.391,88.522,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,26,False,158.0
nodejs,default,382.848,True,318.168,49.562,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,26,False,159.0
nodejs,optimised,82.167,True,35.625,39.756,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,26,False,160.0
java,default,336.734,True,222.973,73.257,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,26,False,161.0
java,default,314.264,True,219.851,65.532,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,27,False,162.0
python,optimised,32.65,True,20.857,8.421,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,27,False,163.0
nodejs,optimised,75.006,True,30.397,37.918,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,27,False,164.0
nodejs,default,387.439,True,323.242,50.823,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,27,False,165.0
python,default,2470.465,True,2392.009,8.291,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,27,False,166.0
java,optimised,160.418,True,35.826,87.37,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,27,False,167.0
java,default,340.362,True,238.07,64.616,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,28,False,168.0
python,optimised,32.955,True,21.078,8.626,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,28,False,169.0
java,optimised,160.198,True,35.851,89.396,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,28,False,170.0
nodejs,optimised,74.355,True,29.398,38.014,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,28,False,171.0
nodejs,default,388.194,True,325.007,50.375,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,28,False,172.0
python,default,2457.303,True,2380.575,8.418,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,28,False,173.0
nodejs,optimised,76.341,True,29.633,39.743,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,29,False,174.0
java,optimised,163.599,True,39.257,88.563,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,29,False,175.0
java,default,334.541,True,221.198,76.586,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,29,False,176.0
python,optimised,32.604,True,20.867,8.484,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,29,False,177.0
nodejs,default,394.474,True,328.198,51.523,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,29,False,178.0
python,default,2459.965,True,2381.002,8.578,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,29,False,179.0
java,default,321.113,True,216.3,67.367,d8d5607bf95a849f849452b53059fe3780e35480a0b8fed2c70e81ca09a44878,97,30,False,180.0
